"TC1,Todo,N/A"
"TC2,Liso,Textura 1"
"TC3,Ondulado,Textura 2"
"TC4,Risado,Textura 3"
"TC5,Crespo,Textura 4"
"TC6,Maltratado/debil,N/A"
"TC7,Graso,N/A"
"TC8,Seco,N/A"
"TC9,Quimicamente tratado,N/A"
